id,path,day,topic,slug,difficulty,tier,title
KPOS-CD-01-01,coding-dsa,1,Python Diagnostic,python-diagnostic,easy,must_do,Eligibility counter
KPOS-CD-01-02,coding-dsa,1,Python Diagnostic,python-diagnostic,easy,must_do,Grade band label
KPOS-CD-01-03,coding-dsa,1,Python Diagnostic,python-diagnostic,easy,must_do,Total study minutes
KPOS-CD-01-04,coding-dsa,1,Python Diagnostic,python-diagnostic,medium,should_do,Normalize names
KPOS-CD-01-05,coding-dsa,1,Python Diagnostic,python-diagnostic,medium,should_do,Pass streak
KPOS-CD-01-06,coding-dsa,1,Python Diagnostic,python-diagnostic,medium,should_do,Simple report
KPOS-CD-01-07,coding-dsa,1,Python Diagnostic,python-diagnostic,medium-hard,stretch,Repair marks
KPOS-CD-01-08,coding-dsa,1,Python Diagnostic,python-diagnostic,medium-hard,stretch,Diagnostic summary
KPOS-CD-02-01,coding-dsa,2,Dry Run Thinking,dry-run-thinking,easy,must_do,Dry Run Thinking: warm-up implementation
KPOS-CD-02-02,coding-dsa,2,Dry Run Thinking,dry-run-thinking,easy,must_do,Dry Run Thinking: edge-case checker
KPOS-CD-02-03,coding-dsa,2,Dry Run Thinking,dry-run-thinking,easy,must_do,Dry Run Thinking: explainable solution
KPOS-CD-02-04,coding-dsa,2,Dry Run Thinking,dry-run-thinking,medium,should_do,Dry Run Thinking: interview variant 1
KPOS-CD-02-05,coding-dsa,2,Dry Run Thinking,dry-run-thinking,medium,should_do,Dry Run Thinking: interview variant 2
KPOS-CD-02-06,coding-dsa,2,Dry Run Thinking,dry-run-thinking,medium,should_do,Dry Run Thinking: pattern recognition drill
KPOS-CD-02-07,coding-dsa,2,Dry Run Thinking,dry-run-thinking,medium-hard,stretch,Dry Run Thinking: timed placement challenge
KPOS-CD-02-08,coding-dsa,2,Dry Run Thinking,dry-run-thinking,medium-hard,stretch,Dry Run Thinking: mixed follow-up
KPOS-CD-03-01,coding-dsa,3,"Conditions, Loops, and Functions",conditions-loops-functions,easy,must_do,"Conditions, Loops, and Functions: warm-up implementation"
KPOS-CD-03-02,coding-dsa,3,"Conditions, Loops, and Functions",conditions-loops-functions,easy,must_do,"Conditions, Loops, and Functions: edge-case checker"
KPOS-CD-03-03,coding-dsa,3,"Conditions, Loops, and Functions",conditions-loops-functions,easy,must_do,"Conditions, Loops, and Functions: explainable solution"
KPOS-CD-03-04,coding-dsa,3,"Conditions, Loops, and Functions",conditions-loops-functions,medium,should_do,"Conditions, Loops, and Functions: interview variant 1"
KPOS-CD-03-05,coding-dsa,3,"Conditions, Loops, and Functions",conditions-loops-functions,medium,should_do,"Conditions, Loops, and Functions: interview variant 2"
KPOS-CD-03-06,coding-dsa,3,"Conditions, Loops, and Functions",conditions-loops-functions,medium,should_do,"Conditions, Loops, and Functions: pattern recognition drill"
KPOS-CD-03-07,coding-dsa,3,"Conditions, Loops, and Functions",conditions-loops-functions,medium-hard,stretch,"Conditions, Loops, and Functions: timed placement challenge"
KPOS-CD-03-08,coding-dsa,3,"Conditions, Loops, and Functions",conditions-loops-functions,medium-hard,stretch,"Conditions, Loops, and Functions: mixed follow-up"
KPOS-CD-04-01,coding-dsa,4,Lists and Strings,lists-and-strings,easy,must_do,Lists and Strings: warm-up implementation
KPOS-CD-04-02,coding-dsa,4,Lists and Strings,lists-and-strings,easy,must_do,Lists and Strings: edge-case checker
KPOS-CD-04-03,coding-dsa,4,Lists and Strings,lists-and-strings,easy,must_do,Lists and Strings: explainable solution
KPOS-CD-04-04,coding-dsa,4,Lists and Strings,lists-and-strings,medium,should_do,Lists and Strings: interview variant 1
KPOS-CD-04-05,coding-dsa,4,Lists and Strings,lists-and-strings,medium,should_do,Lists and Strings: interview variant 2
KPOS-CD-04-06,coding-dsa,4,Lists and Strings,lists-and-strings,medium,should_do,Lists and Strings: pattern recognition drill
